,Name,Salary1,Salary2,Salary3,Salary4,Salary5,Average Salary,Inflation (2018),Inflation (2019),Inflation (2020),Inflation (2021),Inflation (2022),Average Salary Raise,Average Salary Raise (2018),Average Salary Raise (2019),Average Salary Raise (2020),Average Salary Raise (2021)
42,Rancho Santiago,59559,62839,65353,67967,70685,65280.6,1.95,2.13,1.99,2.34,5.5,5.507144176362934,5.51,4.0,4.0,4.0
43,Redwoods,50266,51271,51271,51271,56817,52179.2,1.95,2.13,1.99,2.34,5.5,1.9993633867823182,2.0,0.0,0.0,10.82
44,Rio Hondo,57679,59242,61766,62384,66171,61448.4,1.95,2.13,1.99,2.34,5.5,2.7098250663152967,2.71,4.26,1.0,6.07
45,Riverside,61182,64097,68860,68860,72351,67070.0,1.95,2.13,1.99,2.34,5.5,4.764473211075153,4.76,7.43,0.0,5.07
46,San Bernardino,52447,57964,68843,68843,68843,63388.0,1.95,2.13,1.99,2.34,5.5,10.519190802143116,10.52,18.77,0.0,0.0
47,San Diego,57549,57836,58838,58838,60329,58678.0,1.95,2.13,1.99,2.34,5.5,0.49870545100696795,0.5,1.73,0.0,2.53
48,San Francisco,58499,61200,63700,65900,65900,63039.8,1.95,2.13,1.99,2.34,5.5,4.617172943127233,4.62,4.08,3.45,0.0
49,San Joaquin Delta,57017,57017,59013,60783,63372,59440.4,1.95,2.13,1.99,2.34,5.5,0.0,0.0,3.5,3.0,4.26
50,San Jose/Evergreen,67236,73052,74878,74878,81767,74362.2,1.95,2.13,1.99,2.34,5.5,8.65012790766851,8.65,2.5,0.0,9.2
51,San Luis Obispo County,52056,55016,57057,57057,59665,56170.2,1.95,2.13,1.99,2.34,5.5,5.686184109420624,5.69,3.71,0.0,4.57
52,San Mateo County,68568,71328,71328,77964,78372,73512.0,1.95,2.13,1.99,2.34,5.5,4.025201260063003,4.03,0.0,9.3,0.52
53,Santa Barbara,58944,63071,63071,63071,63071,62245.6,1.95,2.13,1.99,2.34,5.5,7.001560803474484,7.0,0.0,0.0,0.0
54,Santa Clarita,59556,62160,64116,64116,67368,63463.2,1.95,2.13,1.99,2.34,5.5,4.372355430183357,4.37,3.15,0.0,5.07
55,Santa Monica,54900,55998,55998,58259,59133,56857.6,1.95,2.13,1.99,2.34,5.5,2.0,2.0,0.0,4.04,1.5
56,Sequoias,60840,64795,67387,68735,71484,66648.2,1.95,2.13,1.99,2.34,5.5,6.500657462195923,6.5,4.0,2.0,4.0
57,Shasta-Tehama-Trinity Joint,53710,53710,55590,55590,59203,55560.6,1.95,2.13,1.99,2.34,5.5,0.0,0.0,3.5,0.0,6.5
58,Sierra Joint,53206,53206,55334,55334,56994,54814.8,1.95,2.13,1.99,2.34,5.5,0.0,0.0,4.0,0.0,3.0
59,Siskiyou Joint,52865,52865,52865,54451,55268,53662.8,1.95,2.13,1.99,2.34,5.5,0.0,0.0,0.0,3.0,1.5
60,Solano County,49966,53699,53699,55109,57904,54075.4,1.95,2.13,1.99,2.34,5.5,7.471080334627548,7.47,0.0,2.63,5.07
61,Sonoma County,68869,66407,72924,73372,78113,71937.0,1.95,2.13,1.99,2.34,5.5,-3.5749030768560597,-3.57,9.81,0.61,6.46
62,South Orange County,71768,73714,75814,78028,78612,75587.2,1.95,2.13,1.99,2.34,5.5,2.7115148812841374,2.71,2.85,2.92,0.75
63,Southwestern,55178,57670,60127,60127,63776,59375.6,1.95,2.13,1.99,2.34,5.5,4.5162927253615575,4.52,4.26,0.0,6.07
64,State Center,59477,59477,61261,61720,64849,61356.8,1.95,2.13,1.99,2.34,5.5,0.0,0.0,3.0,0.75,5.07
65,Ventura County,48751,48751,52711,52711,53766,51338.0,1.95,2.13,1.99,2.34,5.5,0.0,0.0,8.12,0.0,2.0
66,Victor Valley,52383,53955,55714,55714,55714,54696.0,1.95,2.13,1.99,2.34,5.5,3.0009735983047934,3.0,3.26,0.0,0.0
67,West Hills,59064,60665,60665,60665,62203,60652.4,1.95,2.13,1.99,2.34,5.5,2.7106189895706354,2.71,0.0,0.0,2.54
68,West Kern,54682,56163,57994,59340,61162,57868.2,1.95,2.13,1.99,2.34,5.5,2.7083866720310157,2.71,3.26,2.32,3.07
69,West Valley-Mission,63860,67053,70406,73926,77622,70573.4,1.95,2.13,1.99,2.34,5.5,5.0,5.0,5.0,5.0,5.0
70,Yosemite,55384,61125,61125,61366,62910,60382.0,1.95,2.13,1.99,2.34,5.5,10.36580962010689,10.37,0.0,0.39,2.52
71,Yuba,54727,56772,56772,58623,61595,57697.8,1.95,2.13,1.99,2.34,5.5,3.7367295850311546,3.74,0.0,3.26,5.07
